ProjectName,TestCase,ApproachName,Policy,Time (ms),#Extra Iterations
batik-testcases.jar,Ltestcases/TC_PadMode_Simple,SENECA,0-1-CFA,3725,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Array,SENECA,0-1-CFA,1542,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Map,SENECA,0-1-CFA,1463,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_List,SENECA,0-1-CFA,1160,3
batik-testcases.jar,Ltestcases/TC_PadMode_Set,SENECA,0-1-CFA,858,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Map,SENECA,0-1-CFA,1336,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Map,SENECA,0-1-CFA,1723,3
batik-testcases.jar,Ltestcases/TC_PadMode_Array,SENECA,0-1-CFA,700,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Array,SENECA,0-1-CFA,1088,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Set,SENECA,0-1-CFA,1203,3
batik-testcases.jar,Ltestcases/TC_PadMode_List,SENECA,0-1-CFA,1040,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_List,SENECA,0-1-CFA,920,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Set,SENECA,0-1-CFA,1220,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Map,SENECA,0-1-CFA,1129,3
batik-testcases.jar,Ltestcases/TC_PadMode_Map,SENECA,0-1-CFA,950,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Simple,SENECA,0-1-CFA,990,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_List,SENECA,0-1-CFA,1045,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_List,SENECA,0-1-CFA,1110,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Set,SENECA,0-1-CFA,1027,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Array,SENECA,0-1-CFA,967,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Set,SENECA,0-1-CFA,840,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Simple,SENECA,0-1-CFA,829,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Array,SENECA,0-1-CFA,1033,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Simple,SENECA,0-1-CFA,976,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Simple,SENECA,0-1-CFA,820,3
batik-testcases.jar,Ltestcases/TC_PadMode_Simple,SENECA,1-CFA,1482,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Array,SENECA,1-CFA,1092,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Map,SENECA,1-CFA,946,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_List,SENECA,1-CFA,914,3
batik-testcases.jar,Ltestcases/TC_PadMode_Set,SENECA,1-CFA,563,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Map,SENECA,1-CFA,814,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Map,SENECA,1-CFA,989,3
batik-testcases.jar,Ltestcases/TC_PadMode_Array,SENECA,1-CFA,622,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Array,SENECA,1-CFA,612,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Set,SENECA,1-CFA,687,3
batik-testcases.jar,Ltestcases/TC_PadMode_List,SENECA,1-CFA,995,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_List,SENECA,1-CFA,981,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Set,SENECA,1-CFA,600,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Map,SENECA,1-CFA,546,3
batik-testcases.jar,Ltestcases/TC_PadMode_Map,SENECA,1-CFA,603,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Simple,SENECA,1-CFA,966,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_List,SENECA,1-CFA,678,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_List,SENECA,1-CFA,543,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Set,SENECA,1-CFA,534,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Array,SENECA,1-CFA,880,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Set,SENECA,1-CFA,972,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Simple,SENECA,1-CFA,514,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Array,SENECA,1-CFA,616,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Simple,SENECA,1-CFA,875,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Simple,SENECA,1-CFA,757,3
batik-testcases.jar,Ltestcases/TC_PadMode_Simple,SALSA,0-1-CFA,211,2
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Array,SALSA,0-1-CFA,99,2
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Map,SALSA,0-1-CFA,215,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_List,SALSA,0-1-CFA,228,3
batik-testcases.jar,Ltestcases/TC_PadMode_Set,SALSA,0-1-CFA,146,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Map,SALSA,0-1-CFA,912,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Map,SALSA,0-1-CFA,167,3
batik-testcases.jar,Ltestcases/TC_PadMode_Array,SALSA,0-1-CFA,64,2
batik-testcases.jar,Ltestcases/TC_CompositeRule_Array,SALSA,0-1-CFA,68,2
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Set,SALSA,0-1-CFA,113,3
batik-testcases.jar,Ltestcases/TC_PadMode_List,SALSA,0-1-CFA,110,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_List,SALSA,0-1-CFA,399,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Set,SALSA,0-1-CFA,117,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Map,SALSA,0-1-CFA,159,3
batik-testcases.jar,Ltestcases/TC_PadMode_Map,SALSA,0-1-CFA,186,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Simple,SALSA,0-1-CFA,62,2
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_List,SALSA,0-1-CFA,201,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_List,SALSA,0-1-CFA,150,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Set,SALSA,0-1-CFA,112,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Array,SALSA,0-1-CFA,630,2
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Set,SALSA,0-1-CFA,678,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Simple,SALSA,0-1-CFA,137,2
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Array,SALSA,0-1-CFA,58,2
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Simple,SALSA,0-1-CFA,60,2
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Simple,SALSA,0-1-CFA,398,3
batik-testcases.jar,Ltestcases/TC_PadMode_Simple,SALSA,1-CFA,248,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Array,SALSA,1-CFA,245,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Map,SALSA,1-CFA,326,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_List,SALSA,1-CFA,297,3
batik-testcases.jar,Ltestcases/TC_PadMode_Set,SALSA,1-CFA,126,2
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Map,SALSA,1-CFA,616,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Map,SALSA,1-CFA,164,3
batik-testcases.jar,Ltestcases/TC_PadMode_Array,SALSA,1-CFA,182,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Array,SALSA,1-CFA,157,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Set,SALSA,1-CFA,153,2
batik-testcases.jar,Ltestcases/TC_PadMode_List,SALSA,1-CFA,256,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_List,SALSA,1-CFA,882,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Set,SALSA,1-CFA,153,2
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Map,SALSA,1-CFA,181,3
batik-testcases.jar,Ltestcases/TC_PadMode_Map,SALSA,1-CFA,135,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Simple,SALSA,1-CFA,77,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_List,SALSA,1-CFA,133,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_List,SALSA,1-CFA,265,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Set,SALSA,1-CFA,186,2
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Array,SALSA,1-CFA,671,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Set,SALSA,1-CFA,880,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Simple,SALSA,1-CFA,136,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Array,SALSA,1-CFA,83,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Simple,SALSA,1-CFA,175,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Simple,SALSA,1-CFA,676,2
batik-testcases.jar,Ltestcases/TC_PadMode_Simple,WALA,0-1-CFA,363,0
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Array,WALA,0-1-CFA,166,0
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Map,WALA,0-1-CFA,233,0
batik-testcases.jar,Ltestcases/TC_CompositeRule_List,WALA,0-1-CFA,150,0
batik-testcases.jar,Ltestcases/TC_PadMode_Set,WALA,0-1-CFA,225,0
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Map,WALA,0-1-CFA,501,0
batik-testcases.jar,Ltestcases/TC_CompositeRule_Map,WALA,0-1-CFA,304,0
batik-testcases.jar,Ltestcases/TC_PadMode_Array,WALA,0-1-CFA,131,0
batik-testcases.jar,Ltestcases/TC_CompositeRule_Array,WALA,0-1-CFA,213,0
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Set,WALA,0-1-CFA,116,0
batik-testcases.jar,Ltestcases/TC_PadMode_List,WALA,0-1-CFA,236,0
batik-testcases.jar,Ltestcases/TC_AbstractDocument_List,WALA,0-1-CFA,406,0
batik-testcases.jar,Ltestcases/TC_CompositeRule_Set,WALA,0-1-CFA,243,0
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Map,WALA,0-1-CFA,232,0
batik-testcases.jar,Ltestcases/TC_PadMode_Map,WALA,0-1-CFA,119,0
batik-testcases.jar,Ltestcases/TC_CompositeRule_Simple,WALA,0-1-CFA,225,0
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_List,WALA,0-1-CFA,129,0
batik-testcases.jar,Ltestcases/TC_ARGBChannel_List,WALA,0-1-CFA,93,0
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Set,WALA,0-1-CFA,87,0
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Array,WALA,0-1-CFA,478,0
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Set,WALA,0-1-CFA,629,0
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Simple,WALA,0-1-CFA,220,0
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Array,WALA,0-1-CFA,251,0
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Simple,WALA,0-1-CFA,88,0
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Simple,WALA,0-1-CFA,622,0
batik-testcases.jar,Ltestcases/TC_PadMode_Simple,WALA,1-CFA,418,0
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Array,WALA,1-CFA,410,0
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Map,WALA,1-CFA,432,0
batik-testcases.jar,Ltestcases/TC_CompositeRule_List,WALA,1-CFA,273,0
batik-testcases.jar,Ltestcases/TC_PadMode_Set,WALA,1-CFA,388,0
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Map,WALA,1-CFA,1118,0
batik-testcases.jar,Ltestcases/TC_CompositeRule_Map,WALA,1-CFA,398,0
batik-testcases.jar,Ltestcases/TC_PadMode_Array,WALA,1-CFA,295,0
batik-testcases.jar,Ltestcases/TC_CompositeRule_Array,WALA,1-CFA,217,0
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Set,WALA,1-CFA,379,0
batik-testcases.jar,Ltestcases/TC_PadMode_List,WALA,1-CFA,387,0
batik-testcases.jar,Ltestcases/TC_AbstractDocument_List,WALA,1-CFA,1133,0
batik-testcases.jar,Ltestcases/TC_CompositeRule_Set,WALA,1-CFA,379,0
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Map,WALA,1-CFA,395,0
batik-testcases.jar,Ltestcases/TC_PadMode_Map,WALA,1-CFA,378,0
batik-testcases.jar,Ltestcases/TC_CompositeRule_Simple,WALA,1-CFA,396,0
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_List,WALA,1-CFA,398,0
batik-testcases.jar,Ltestcases/TC_ARGBChannel_List,WALA,1-CFA,388,0
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Set,WALA,1-CFA,334,0
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Array,WALA,1-CFA,936,0
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Set,WALA,1-CFA,1127,0
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Simple,WALA,1-CFA,442,0
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Array,WALA,1-CFA,389,0
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Simple,WALA,1-CFA,384,0
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Simple,WALA,1-CFA,1119,0
castor-testcases.jar,Ltestcases/TC_AccessMode_Set,SENECA,0-1-CFA,676,3
castor-testcases.jar,Ltestcases/TC_TableAccessModeType_Simple,SENECA,0-1-CFA,388,3
castor-testcases.jar,Ltestcases/TC_SqlDirtyType_Simple,SENECA,0-1-CFA,286,3
castor-testcases.jar,Ltestcases/TC_SqlDirtyType_Array,SENECA,0-1-CFA,426,3
castor-testcases.jar,Ltestcases/TC_AccessMode_Map,SENECA,0-1-CFA,535,3
castor-testcases.jar,Ltestcases/TC_FieldTypeVisibilityType_Simple,SENECA,0-1-CFA,414,3
castor-testcases.jar,Ltestcases/TC_EventListenerList_Set,SENECA,0-1-CFA,528,3
castor-testcases.jar,Ltestcases/TC_SqlDirtyType_List,SENECA,0-1-CFA,560,3
castor-testcases.jar,Ltestcases/TC_EventListenerList_Array,SENECA,0-1-CFA,492,3
castor-testcases.jar,Ltestcases/TC_FieldTypeVisibilityType_Map,SENECA,0-1-CFA,522,3
castor-testcases.jar,Ltestcases/TC_BindingType2_Simple,SENECA,0-1-CFA,415,3
castor-testcases.jar,Ltestcases/TC_VisibilityType_Set,SENECA,0-1-CFA,557,3
castor-testcases.jar,Ltestcases/TC_FieldMappingCollectionType_List,SENECA,0-1-CFA,517,3
castor-testcases.jar,Ltestcases/TC_TableAccessModeType_List,SENECA,0-1-CFA,524,3
castor-testcases.jar,Ltestcases/TC_ClassMappingAccessType_Map,SENECA,0-1-CFA,554,3
castor-testcases.jar,Ltestcases/TC_BindXmlNodeType_Map,SENECA,0-1-CFA,587,3
castor-testcases.jar,Ltestcases/TC_BindingType_Map,SENECA,0-1-CFA,537,3
castor-testcases.jar,Ltestcases/TC_AccessMode_List,SENECA,0-1-CFA,359,3
castor-testcases.jar,Ltestcases/TC_VisibilityType_List,SENECA,0-1-CFA,332,3
castor-testcases.jar,Ltestcases/TC_BindXmlAutoNamingType_Set,SENECA,0-1-CFA,517,3
castor-testcases.jar,Ltestcases/TC_SqlDirtyType_Set,SENECA,0-1-CFA,639,3
castor-testcases.jar,Ltestcases/TC_FieldMappingCollectionType_Map,SENECA,0-1-CFA,410,3
castor-testcases.jar,Ltestcases/TC_TableAccessModeType_Set,SENECA,0-1-CFA,322,3
castor-testcases.jar,Ltestcases/TC_BindXmlNodeType_Set,SENECA,0-1-CFA,316,3
castor-testcases.jar,Ltestcases/TC_FieldMappingCollectionType_Array,SENECA,0-1-CFA,235,3
castor-testcases.jar,Ltestcases/TC_BindingType2_Set,SENECA,0-1-CFA,317,3
castor-testcases.jar,Ltestcases/TC_ClassMappingAccessType_Simple,SENECA,0-1-CFA,244,3
castor-testcases.jar,Ltestcases/TC_TableAccessModeType_Array,SENECA,0-1-CFA,243,3
castor-testcases.jar,Ltestcases/TC_BindXmlAutoNamingType_Map,SENECA,0-1-CFA,429,3
castor-testcases.jar,Ltestcases/TC_EventListenerList_Simple,SENECA,0-1-CFA,514,3
castor-testcases.jar,Ltestcases/TC_BindXmlAutoNamingType_Simple,SENECA,0-1-CFA,465,3
castor-testcases.jar,Ltestcases/TC_ClassMappingAccessType_Set,SENECA,0-1-CFA,422,3
castor-testcases.jar,Ltestcases/TC_SqlDirtyType_Map,SENECA,0-1-CFA,311,3
castor-testcases.jar,Ltestcases/TC_FieldTypeCollectionType_Map,SENECA,0-1-CFA,331,3
castor-testcases.jar,Ltestcases/TC_TableAccessModeType_Map,SENECA,0-1-CFA,337,3
castor-testcases.jar,Ltestcases/TC_BindXmlAutoNamingType_Array,SENECA,0-1-CFA,303,3
castor-testcases.jar,Ltestcases/TC_BindingType_List,SENECA,0-1-CFA,532,3
castor-testcases.jar,Ltestcases/TC_BindXmlNodeType_List,SENECA,0-1-CFA,606,3
castor-testcases.jar,Ltestcases/TC_AccessMode_Simple,SENECA,0-1-CFA,335,3
castor-testcases.jar,Ltestcases/TC_EventListenerList_List,SENECA,0-1-CFA,347,3
castor-testcases.jar,Ltestcases/TC_FieldMappingCollectionType_Set,SENECA,0-1-CFA,326,3
castor-testcases.jar,Ltestcases/TC_AccessMode_Array,SENECA,0-1-CFA,298,3
castor-testcases.jar,Ltestcases/TC_EventListenerList_Map,SENECA,0-1-CFA,545,3
castor-testcases.jar,Ltestcases/TC_VisibilityType_Map,SENECA,0-1-CFA,523,3
castor-testcases.jar,Ltestcases/TC_FieldTypeCollectionType_List,SENECA,0-1-CFA,500,3
castor-testcases.jar,Ltestcases/TC_FieldMappingCollectionType_Simple,SENECA,0-1-CFA,252,3
castor-testcases.jar,Ltestcases/TC_FieldTypeCollectionType_Simple,SENECA,0-1-CFA,259,3
castor-testcases.jar,Ltestcases/TC_VisibilityType_Array,SENECA,0-1-CFA,250,3
castor-testcases.jar,Ltestcases/TC_ClassMappingAccessType_List,SENECA,0-1-CFA,360,3
castor-testcases.jar,Ltestcases/TC_ClassMappingAccessType_Array,SENECA,0-1-CFA,394,3
castor-testcases.jar,Ltestcases/TC_BindingType_Array,SENECA,0-1-CFA,391,3
castor-testcases.jar,Ltestcases/TC_FieldTypeCollectionType_Set,SENECA,0-1-CFA,596,3
castor-testcases.jar,Ltestcases/TC_BindingType_Set,SENECA,0-1-CFA,321,3
castor-testcases.jar,Ltestcases/TC_BindXmlNodeType_Simple,SENECA,0-1-CFA,238,3
castor-testcases.jar,Ltestcases/TC_BindingType2_Map,SENECA,0-1-CFA,323,3
castor-testcases.jar,Ltestcases/TC_BindingType2_List,SENECA,0-1-CFA,503,3
castor-testcases.jar,Ltestcases/TC_FieldTypeCollectionType_Array,SENECA,0-1-CFA,410,3
castor-testcases.jar,Ltestcases/TC_BindXmlAutoNamingType_List,SENECA,0-1-CFA,557,3
castor-testcases.jar,Ltestcases/TC_VisibilityType_Simple,SENECA,0-1-CFA,286,3
castor-testcases.jar,Ltestcases/TC_FieldTypeVisibilityType_Set,SENECA,0-1-CFA,322,3
castor-testcases.jar,Ltestcases/TC_BindingType2_Array,SENECA,0-1-CFA,331,3
castor-testcases.jar,Ltestcases/TC_BindXmlNodeType_Array,SENECA,0-1-CFA,380,3
castor-testcases.jar,Ltestcases/TC_FieldTypeVisibilityType_Array,SENECA,0-1-CFA,397,3
castor-testcases.jar,Ltestcases/TC_BindingType_Simple,SENECA,0-1-CFA,398,3
castor-testcases.jar,Ltestcases/TC_AccessMode_Set,SENECA,1-CFA,713,3
castor-testcases.jar,Ltestcases/TC_TableAccessModeType_Simple,SENECA,1-CFA,410,3
castor-testcases.jar,Ltestcases/TC_SqlDirtyType_Simple,SENECA,1-CFA,277,3
castor-testcases.jar,Ltestcases/TC_SqlDirtyType_Array,SENECA,1-CFA,464,3
castor-testcases.jar,Ltestcases/TC_AccessMode_Map,SENECA,1-CFA,544,3
castor-testcases.jar,Ltestcases/TC_FieldTypeVisibilityType_Simple,SENECA,1-CFA,464,3
castor-testcases.jar,Ltestcases/TC_EventListenerList_Set,SENECA,1-CFA,488,3
castor-testcases.jar,Ltestcases/TC_SqlDirtyType_List,SENECA,1-CFA,561,3
castor-testcases.jar,Ltestcases/TC_EventListenerList_Array,SENECA,1-CFA,439,3
castor-testcases.jar,Ltestcases/TC_FieldTypeVisibilityType_Map,SENECA,1-CFA,615,3
castor-testcases.jar,Ltestcases/TC_BindingType2_Simple,SENECA,1-CFA,385,3
castor-testcases.jar,Ltestcases/TC_VisibilityType_Set,SENECA,1-CFA,572,3
castor-testcases.jar,Ltestcases/TC_FieldMappingCollectionType_List,SENECA,1-CFA,593,3
castor-testcases.jar,Ltestcases/TC_TableAccessModeType_List,SENECA,1-CFA,520,3
castor-testcases.jar,Ltestcases/TC_ClassMappingAccessType_Map,SENECA,1-CFA,603,3
castor-testcases.jar,Ltestcases/TC_BindXmlNodeType_Map,SENECA,1-CFA,629,3
castor-testcases.jar,Ltestcases/TC_BindingType_Map,SENECA,1-CFA,426,3
castor-testcases.jar,Ltestcases/TC_AccessMode_List,SENECA,1-CFA,305,3
castor-testcases.jar,Ltestcases/TC_VisibilityType_List,SENECA,1-CFA,300,3
castor-testcases.jar,Ltestcases/TC_BindXmlAutoNamingType_Set,SENECA,1-CFA,613,3
castor-testcases.jar,Ltestcases/TC_SqlDirtyType_Set,SENECA,1-CFA,396,3
castor-testcases.jar,Ltestcases/TC_FieldMappingCollectionType_Map,SENECA,1-CFA,294,3
castor-testcases.jar,Ltestcases/TC_TableAccessModeType_Set,SENECA,1-CFA,294,3
castor-testcases.jar,Ltestcases/TC_BindXmlNodeType_Set,SENECA,1-CFA,351,3
castor-testcases.jar,Ltestcases/TC_FieldMappingCollectionType_Array,SENECA,1-CFA,398,3
castor-testcases.jar,Ltestcases/TC_BindingType2_Set,SENECA,1-CFA,602,3
castor-testcases.jar,Ltestcases/TC_ClassMappingAccessType_Simple,SENECA,1-CFA,329,3
castor-testcases.jar,Ltestcases/TC_TableAccessModeType_Array,SENECA,1-CFA,245,3
castor-testcases.jar,Ltestcases/TC_BindXmlAutoNamingType_Map,SENECA,1-CFA,297,3
castor-testcases.jar,Ltestcases/TC_EventListenerList_Simple,SENECA,1-CFA,319,3
castor-testcases.jar,Ltestcases/TC_BindXmlAutoNamingType_Simple,SENECA,1-CFA,423,3
castor-testcases.jar,Ltestcases/TC_ClassMappingAccessType_Set,SENECA,1-CFA,578,3
castor-testcases.jar,Ltestcases/TC_SqlDirtyType_Map,SENECA,1-CFA,375,3
castor-testcases.jar,Ltestcases/TC_FieldTypeCollectionType_Map,SENECA,1-CFA,289,3
