MemberOf,MethodName,ParametersList,Return Type,DangerousRange
Ljava/lang/Runtime,exec,[Ljava/lang/String;,Ljava/lang/Process;,1
Ljava/lang/Runtime,exec,[Ljava/lang/String;[Ljava/lang/String;,Ljava/lang/Process;,1
Ljava/lang/Runtime,exec,[Ljava/lang/String;[Ljava/lang/String;Ljava/io/File;,Ljava/lang/Process;,1
Ljava/lang/Runtime,exec,Ljava/lang/String;,Ljava/lang/Process;,1
Ljava/lang/Runtime,exec,Ljava/lang/String[Ljava/lang/String;,Ljava/lang/Process;,1
Ljava/lang/Runtime,exec,Ljava/lang/String[Ljava/lang/String;Ljava/io/File;,Ljava/lang/Process;,1
Ljava/io/File,createNewFile,,Z,1
Ljava/io/File,createTempFile,Ljava/lang/String;Ljava/lang/String;,Ljava/io/File,1
Ljava/io/File,createTempFile,Ljava/lang/String;Ljava/lang/String;Ljava/io/File;,Ljava/io/File,1
Ljava/io/File,delete,,Z,1
Ljava/io/File,deleteOnExit,,V,1
Ljava/io/File,mkdir,,Z,1
Ljava/io/File,mkdirs,,Z,1
Ljava/io/File,renameTo,Ljava/io/File;,Z,1
Ljava/io/File,setExecutable,Z,Z,1
Ljava/io/File,setExecutable,ZZ,Z,1
Ljava/io/File,setLastModified,J,Z,1
Ljava/io/File,setReadable,Z,Z,1
Ljava/io/File,setReadable,ZZ,Z,1
Ljava/io/File,setReadOnly,,Z,1
Ljava/io/File,setWritable,Z,Z,1
Ljava/io/File,setWritable,ZZ,Z,1
Ljava/io/FileOutputStream,<init>,Ljava/io/File;,V,1
Ljava/io/FileOutputStream,<init>,Ljava/io/File;Z,V,1
Ljava/io/FileOutputStream,<init>,Ljava/io/FileDescriptor;,V,1
Ljava/io/FileOutputStream,<init>,Ljava/lang/String;,V,1
Ljava/io/FileOutputStream,<init>,Ljava/lang/String;Z,V,1
Ljava/io/FileOutputStream,open,Ljava/lang/String;Z,V,1
Ljava/io/FileOutputStream,write,[B,V,1
Ljava/io/FileOutputStream,write,[BII,V,1
Ljava/io/FileOutputStream,write,I,V,1
Ljava/io/FileOutputStream,write,IZ,V,1
Ljava/io/FileOutputStream,writeBytes,[BIIZ,V,1
Ljava/io/OutputStream,<init>,,V,1
Ljava/io/OutputStream,write,I,V,1
Ljava/io/OutputStream,write,[B,V,1
Ljava/io/OutputStream,write,[BII,V,1
Ljava/lang/reflect/Method,invoke,Ljava/lang/Object;[Ljava/lang/Object;,Ljava/lang/Object,1
Ljava/sql/Statement,executeUpdate,Ljava/lang/String;,I,1
Ljava/sql/Statement,executeUpdate,Ljava/lang/String;I,I,1
Ljava/sql/Statement,executeUpdate,Ljava/lang/String;[I,I,1
Ljava/sql/Statement,executeUpdate,Ljava/lang/String;[Ljava/lang/String;,I,1
Ljava/sql/Statement,executeQuery,Ljava/lang/String;,Ljava/sql/ResultSet;,1
Ljava/sql/Statement,execute,Ljava/lang/String;,B,1
Ljava/sql/Statement,execute,Ljava/lang/String;I,B,1
Ljava/sql/Statement,execute,Ljava/lang/String;[Ljava/lang/String;,B,1
Ljava/sql/Statement,execute,Ljava/lang/String;[I,B,1
Ljava/sql/Statement,addBatch,Ljava/lang/String;,V,1
Ljava/sql/Statement,execute,Ljava/lang/String;,Z,1
Ljava/sql/PreparedStatement,executeQuery,,Ljava/sql/ResultSet;,1
Ljava/sql/PreparedStatement,executeUpdate,,I,1
Ljavax/servlet/http/HttpServletResponse,sendRedirect,Ljava/lang/String;,V,1
Lnet/sourceforge/pebble/domain/PageBasedContent,setBody,Ljava/lang/String;,V,1
Lnet/sourceforge/pebble/domain/PageBasedContent,setAuthor,Ljava/lang/String;,V,1
Lnet/sourceforge/pebble/domain/BlogEntry,setExcerpt,Ljava/lang/String;,V,1
Lnet/sourceforge/pebble/domain/PageBasedContent,setSubtitle,Ljava/lang/String;,V,1
Lnet/sourceforge/pebble/domain/BlogEntry,setTitle,Ljava/lang/String;,V,1
Ljavax/servlet/ServletOutputStream,print,Ljava/lang/String;,V,1
Ljavax/servlet/ServletOutputStream,println,Ljava/lang/String;,V,1
Ljavax/servlet/jsp/JspWriter,print,Ljava/lang/String;,V,1
Ljavax/servlet/jsp/JspWriter,println,Ljava/lang/String;,V,1
Ljava/io/PrintWriter,print,Ljava/lang/String;,V,1
Ljava/io/PrintWriter,println,Ljava/lang/String;,V,1
Ljava/io/PrintStream,write,Ljava/lang/String;,V,1
Ljavax/servlet/ServletOutputStream,write,[B,V,1
Ljava/io/PrintStream,println,Ljava/lang/String;,V,1
Lorg/apache/lucene/document/Field,<init>,Ljava/lang/String;[B,V,1
Lnet/sourceforge/pebble/web/model/Model,put,Ljava/lang/String;Ljava/lang/Object;,V,1
Lnet/sourceforge/pebble/domain/BlogEntry,createComment,Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;,Lnet/sourceforge/pebble/domain/Comment;,1
Ljava/io,File,Ljava/lang/String;,Ljava/io/File;,1
Ljava/io,RandomAccessFile,Ljava/lang/String;Ljava/lang/String;,Ljava/io/RandomAccessFile;,1
Ljava/io,FileReader,Ljava/lang/String;,Ljava/io/FileReader;,1
Ljava/io,FileInputStream,Ljava/lang/String;,Ljava/io/FileInputStream;,1
Ljava/io,FileWriter,Ljava/lang/String;,Ljava/io/FileWriter;,1
Ljava/io,FileOutputStream,Ljava/lang/String;,Ljava/io/FileOutputStream;,1
Ljava/lang/Runtime,exec,Ljava/lang/String;[Ljava/lang/String;,Ljava/lang/Process;,1
Ljavax/xml/xpath/XPath,compile,Ljava/lang/String;,Ljavax/xml/xpath/XPathExpression;,1
Ljavax/xml/xpath/XPath,evaluate,Ljava/lang/String;Lorg/xml/sax/InputSource;Ljavax/xml/namespace/QName;,Ljava/lang/Object;,1
Ljavax/xml/xpath/XPathExpression,evaluate,Ljava/lang/Object;Ljavax/xml/namespace/QName;,Ljava/lang/Object;,1
Ljavax/xml/xpath/XPath,evaluate,Ljava/lang/String;Ljava/lang/Object;,Ljava/lang/String;,1
Ljavax/xml/xpath/XPath,evaluate,Ljava/lang/String;Ljava/lang/Object;Ljavax/xml/namespace/QName;,Ljava/lang/Object;,1
Lorg/apache/xpath,XPath,Ljava/lang/String;Ljavax/xml/transform/SourceLocator;Lorg/apache/xml/utils/PrefixResolver;I,Lorg/apache/xpath/XPath;,1
Lorg/apache/xpath,XPath,Ljava/lang/String;Ljavax/xml/transform/SourceLocator;Lorg/apache/xml/utils/PrefixResolver;ILjavax/xml/transform/ErrorListener;,Lorg/apache/xpath/XPath;,1
Lorg/apache/xpath,XPath,Ljava/lang/String;Ljavax/xml/transform/SourceLocator;Lorg/apache/xml/utils/PrefixResolver;ILjavax/xml/transform/ErrorListener;Lorg/apache/xpath/compiler/FunctionTable;,Lorg/apache/xpath/XPath;,1
Lorg/apache/commons/jxpath/JXPathContext,getValue,Ljava/lang/String;,Ljava/lang/Object;,1
Lorg/xmldb/api/modules/XPathQueryService,query,Ljava/lang/String;,Lorg/xmldb/api/base/ResourceSet;,1
Lorg/xmldb/api/modules/XMLResource,setContent,Ljava/lang/Object;,V;,1
Lorg/xml/sax/XMLReader,parse,Lorg/xml/sax/InputSource;,V,1
LPubSubHubbub/PuSHhandler,processFeeds,Ljava/lang/String;Lcom/sun/syndication/feed/synd/SyndFeed;,V,1
Lorg/apache/http/client/methods/HttpPost,setEntity,Lorg/apache/http/HttpEntity;,V,1
Lorg/apache/http/client/methods/HttpPost,setHeader,Ljava/lang/String;Ljava/lang/String;,V,1
Ljava/lang/Class,getMethod,Ljava/lang/String;[Ljava/lang/Class;,Ljava/lang/reflect/Method;,1
Ljava/lang/reflect/Method,invoke,Ljava/lang/Object;[Ljava/lang/Object;,Ljava/lang/Object;,1
Ljavax/naming/directory/DirContext,search,Ljava/lang/String;Ljava/lang/String;,Ljavax/naming/directory/SearchControls;,1
Lorg/LdapConnection,search,Ljava/lang/String;Z,Ljavax/naming/NamingEnumeration;,1
Lcom/novell/ldap/LDAPConnection,connect,Ljava/lang/String;I,V,1
Lcom/novell/ldap/LDAPConnection,search,Ljava/lang/String;ILjava/lang/String;[Ljava/lang/String;BLcom/novell/ldap/LDAPSearchQueue;,Lcom/novell/ldap/LDAPSearchQueue;,1
Lcom/novell/ldap/LDAPConnection,search,Ljava/lang/String;ILjava/lang/String;[Ljava/lang/String;BLcom/novell/ldap/LDAPSearchQueue;Lcom/novell/ldap/LDAPSearchConstraints;,Lcom/novell/ldap/LDAPSearchQueue;,1
Lorg/kamranzafar/auth/rs/ldap/LdapAuthentication,setSearchFilter,Ljava/lang/String;,V,1
Lorg/kamranzafar/auth/rs/ldap/LdapAuthentication,setSearchBase,Ljava/lang/String;,V,1
Lorg/apache/xmlrpc/XmlRpcServer,execute,Ljava/io/InputStream;,[B,1